action,resource_type,paths,disclosure,audit
account.mobile_sessions.revoke,mobile_session,self,masked,required
account.mobile_sessions.view,user,self,masked,optional
account.notifications.update,user,self,masked,required
account.notifications.view,user,self,masked,optional
account.password.change,user,self,masked,required
account.profile.update,user,self,masked,required
account.profile.view,user,self,masked,optional
account.viewer_preferences.manage,user,self,masked,optional
ad_hoc_task.create,ad_hoc_task,scoped_role|admin_break_glass,masked,optional
ad_hoc_task.delete,ad_hoc_task,scoped_role|admin_break_glass,masked,optional
ad_hoc_task.view,ad_hoc_task,scoped_role|admin_break_glass,masked,optional
admin.dashboard.view,screen,authenticated_screen|admin_break_glass,masked,optional
admin.database.export,system_operation,admin_break_glass,masked,required
admin.database.restore,system_operation,admin_break_glass,masked,required
admin.email_settings.manage,email_settings_config,admin_break_glass,identifier_in_place,required
admin.email_settings.view,email_settings_config,admin_break_glass,identifier_in_place,optional
admin.executable_config.manage,executable_config_record,admin_break_glass,masked,required
admin.executable_config.view,executable_config_record,admin_break_glass,masked,optional
admin.grading_config.manage,grading_config_record,admin_break_glass,masked,required
admin.grading_config.view,grading_config_record,admin_break_glass,masked,optional
admin.grading_eligibility.manage,screen,authenticated_screen|admin_break_glass,masked,optional
admin.grading_eligibility.user.manage,user,scoped_role|admin_break_glass,identifier_in_place,required
admin.grading_repair.apply_review,grading_repair_target,admin_break_glass,masked,required
admin.grading_repair.reset_batch,grading_repair_batch,admin_break_glass,masked,required
admin.lookup.manage,screen,admin_break_glass,masked,optional
admin.lookup_record.manage,lookup_record,admin_break_glass,masked,required
admin.lookup_record.view,lookup_record,admin_break_glass,masked,optional
admin.metadata.operation,system_operation,scoped_role|admin_break_glass,masked,required
admin.remidio_api_config.manage,remidio_config_record,admin_break_glass,identifier_in_place,required
admin.remidio_api_config.view,remidio_config_record,admin_break_glass,identifier_in_place,optional
admin.s3.manage,screen,admin_break_glass,masked,optional
admin.s3_config.manage,s3_config,admin_break_glass,identifier_in_place,required
admin.s3_config.view,s3_config,admin_break_glass,identifier_in_place,optional
admin.s3_sync.query,s3_sync_query,scoped_role|admin_break_glass,identifier_in_place,optional
admin.s3_sync.retry,s3_sync_record,scoped_role|admin_break_glass,identifier_in_place,required
admin.s3_sync.view,screen,authenticated_screen|admin_break_glass,masked,optional
admin.security.view,screen,admin_break_glass,masked,optional
admin.sensitive_audit.detail.view,sensitive_audit_event,scoped_role|admin_break_glass,identifier_in_place,optional
admin.sensitive_audit.view,screen,authenticated_screen|admin_break_glass,masked,optional
admin.storage.operation,system_operation,scoped_role|admin_break_glass,masked,required
admin.system.manage,screen,admin_break_glass,masked,optional
admin.system.operation,system_operation,admin_break_glass,masked,required
admin.system.status.view,screen,authenticated_screen|admin_break_glass,masked,optional
admin.task_backfill.run,task_backfill_target,scoped_role|admin_break_glass,masked,required
admin.task_backfill.view,screen,authenticated_screen|admin_break_glass,masked,optional
admin.upload_metadata_fields.create,system_operation,admin_break_glass,masked,optional
admin.upload_metadata_fields.manage,upload_metadata_field_definition,admin_break_glass,identifier_in_place,optional
admin.upload_metadata_fields.view,screen,admin_break_glass,masked,optional
admin.upload_profiles.manage,screen,admin_break_glass,masked,optional
admin.upload_profiles.update,upload_profile,admin_break_glass,identifier_in_place,optional
admin.upload_quota.manage,user,scoped_role|admin_break_glass,identifier_in_place,required
admin.users.create,user_creation_target,scoped_role|admin_break_glass,identifier_in_place,required
admin.users.manage,user,scoped_role|admin_break_glass,identifier_in_place,required
admin.users.view,user,scoped_role|admin_break_glass,identifier_in_place,optional
admin.users.workspace.view,screen,authenticated_screen|admin_break_glass,masked,optional
analytics.encounters.view,screen,authenticated_screen|admin_break_glass,masked,optional
analytics.hospital_dashboard.view,screen,authenticated_screen|admin_break_glass,masked,optional
analytics.kpi.direct_files.rows,direct_image_upload,scoped_role|admin_break_glass,masked,optional
analytics.kpi.encounter_files.rows,encounter_file,scoped_role|admin_break_glass,masked,optional
analytics.kpi.view,screen,authenticated_screen|admin_break_glass,masked,optional
analytics.upload_stats.view,screen,authenticated_screen|admin_break_glass,masked,optional
api.lookups.manage,screen,admin_break_glass,masked,optional
api.lookups.view,screen,authenticated_screen|admin_break_glass,masked,optional
api.mobile.session.manage,mobile_session,scoped_role|admin_break_glass,masked,required
api.ocr.manage,screen,authenticated_screen|admin_break_glass,masked,optional
audit.data_quality.view,screen,admin_break_glass,masked,optional
auth.login,public,public,masked,optional
auth.logout,user,self,masked,optional
auth.mobile.logout,mobile_session,signed_credential,masked,optional
auth.mobile.refresh,mobile_session,signed_credential,masked,optional
auth.password_reset.complete,password_reset_credential,signed_credential,masked,required
auth.password_reset.request,public,public,masked,optional
auth.password_reset.status,password_reset_credential,signed_credential,masked,optional
auth.reauth,user,self,masked,optional
auth.session.keepalive,user,self,masked,optional
authorization.catalogue.view,screen,admin_break_glass,masked,optional
authorization.grants.manage,grant_target,scoped_role|admin_break_glass,masked,required
authorization.grants.view,screen,authenticated_screen|admin_break_glass,masked,optional
authorization.me.capabilities.view,user,self,masked,optional
authorization.me.upload_options.view,user,self,masked,optional
authorization.me.workspaces.view,user,self,masked,optional
dashboard.view,screen,authenticated_screen|admin_break_glass,masked,optional
dataset.curation.image.update,image,scoped_role|admin_break_glass,identifier_in_place,optional
dataset.curation.update,dataset,scoped_role|admin_break_glass,masked,optional
dataset.curation.view,dataset,scoped_role|admin_break_glass,masked,optional
dataset.delete,dataset,scoped_role|admin_break_glass,masked,required
dataset.export.create,dataset,scoped_role|admin_break_glass,masked,required
dataset.export.download,dataset,scoped_role|admin_break_glass,masked,optional
dataset.export.download_identifiers,dataset,scoped_role|admin_break_glass,identifier_release,required
dataset.export.grades,dataset,scoped_role|admin_break_glass,masked,optional
dataset.finalize,dataset,scoped_role|admin_break_glass,masked,required
dataset.public_download,dataset_share,signed_credential,masked,optional
dataset.share.manage,dataset,scoped_role|admin_break_glass,masked,required
docs.api.view,public,public,masked,optional
glaucoma_ai.mobile_upload.create,project_upload_target,scoped_upload_profile|admin_break_glass,identifier_in_place,optional
glaucoma_ai.result.view,inference_result,scoped_role|admin_break_glass,masked,optional
glaucoma_ai.upload.create,project_upload_target,scoped_upload_profile|admin_break_glass,identifier_in_place,optional
glaucoma_ai.upload.view,direct_image_upload,mobile_owner,identifier_in_place,optional
glaucoma_ai.uploads.list,screen,authenticated_screen,masked,optional
glaucoma_ai.workspace.view,project,scoped_role|admin_break_glass,masked,optional
grading.arbitrator.submit,grading_task,qualified_slot,masked,optional
grading.grades.view,grading_task,participant|admin_break_glass,masked,optional
grading.resident.submit,grading_task,qualified_slot,masked,optional
grading.resident2.submit,grading_task,qualified_slot,masked,optional
